what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.ui",1274956687895
stopped,bundle,cvc3.editor,0.0.1,"cvc3.editor",1274956688019
stopped,bundle,coq.sugar,0.9.4,"coq.sugar",1274956688029
stopped,bundle,coq.editor,0.9.4,"coq.editor",1274956688031
stopped,bundle,mobius.perspective.proving,1.0.1,"mobius.perspective.proving",1274956688032
stopped,bundle,mobius.perspective.verification,1.1.0,"mobius.perspective.verification",1274956688033
stopped,bundle,mobius.escjava2.ui,2.0.32,"mobius.escjava2.ui",1274956688060
stopped,bundle,simplify.editor,0.0.6,"simplify.editor",1274956688071
stopped,bundle,yices.editor,0.0.5,"yices.editor",1274956688084
stopped,bundle,z3.editor,0.0.5,"z3.editor",1274956688086
stopped,bundle,prover.editor,0.9.12,"prover.editor",1274956688241
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1274956688378
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1274956688390
stopped,bundle,ch.ethz.inf.pm.jml.plugin,1.1.1,"ch.ethz.inf.pm.jml.plugin",1274956688613
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1274956688725
stopped,bundle,ie.ucd.bon.beetlz.plugin,1.2.7,"ie.ucd.bon.beetlz.plugin",1274956688753
stopped,bundle,ie.ucd.bon.plugin,0.3.13,"ie.ucd.bon.plugin",1274956688833
stopped,bundle,AutoGrader,0.2.2,"AutoGrader",1274956688834
stopped,bundle,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics",1274956688834
stopped,bundle,edu.umd.cs.findbugs.plugin.eclipse,1.3.9.20090821,"edu.umd.cs.findbugs.plugin.eclipse",1274956688834
stopped,bundle,net.sf.jautodoc,1.7.0,"net.sf.jautodoc",1274956688858
stopped,bundle,com.atlassw.tools.eclipse.checkstyle,4.4.3,"com.atlassw.tools.eclipse.checkstyle",1274956688858
stopped,bundle,com.mountainminds.eclemma.ui,1.4.3,"com.mountainminds.eclemma.ui",1274956688875
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1275068658732
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1275068658735
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1275068658736
